sfx2,width,E2,focus,rule_of_thirds,mag4,rank_sum,sfy2,E3,sfx3,smiles,sfy1,height,sfx1,green_m2,F4,ufx1,blue_m4,rg2,ufy3,shackiness
0.085309,1280,0.337845,0.335107,0.000452555,0.00335123,0.0749251,0.08592,-0.166739,-0.0108456,0,0.000639774,720,-0.00303753,0.126085,0.0046712,0.0634826,0.027734,0.196551,0.0290634,0.0446102
0.0683995,1280,0.396706,0.767863,0.00793981,0.0110204,0.06,0.0611265,-0.0550264,-0.0196145,0.000421408,-0.00252979,720,-0.00976597,0.210059,0.00541339,0.0448996,-0.00275849,0.247305,0.056761,0.0421407
0.190876,1280,0.152473,0.488431,0.00827307,0.00128676,0.0599401,0.140556,-0.0739911,0.00508471,0,0.00779351,720,0.0162751,0.204007,0.010427,0.134718,-0.00220438,0.182961,0.0288484,0.0428
0.113853,1280,0.409649,1,0.00562513,0.0266693,0.0749251,0.0643866,-0.0531594,0.0898821,0.000706928,0.00225381,720,0.00216833,0.202425,0.0200268,0.0365958,-0.00247499,0.179518,0.0654054,0.058372
0.179094,1280,0.167267,0.206301,0.00359381,0.00285095,0.0599401,0.146901,-0.364343,0.00751712,0.00165017,0.000394257,720,0.0149297,0.0844847,0.0140301,0.112183,0.0398615,0.206605,0.0356459,0.079758
0.236051,1280,0.0839462,0.140797,0.00144401,0.0042251,0.0749251,0.125954,-0.070923,0.00436788,0.000143082,0.000897355,720,0.00427893,0.0677683,0.000827879,0.159728,0.00341085,0.147048,0.0690027,0.10073
0.141859,1280,0.266597,0.26033,0.0325253,0.00662338,0.0749251,0.0917986,-0.175135,0.00197926,0,0.00158745,720,-0.0030108,0.116638,0.0165518,0.0603907,0.0265864,0.157201,0.0385779,0.0107379
0.0667291,1280,0.511199,0.280864,0.0123538,0.00725589,0.0749251,0.0666666,-0.0605234,0.0240056,0.00125,0.00120175,720,0.00233325,0.213866,0.0475216,0.0476266,0.0077529,0.194662,0.0474495,0.0633929
0.0497611,1280,0.308411,0.9128,0.00801463,0.00511696,0.0625,0.113268,-0.111145,0.0246923,0.00318049,0.000828468,720,0.00461096,0.217266,-0.00234786,0.0310402,0.00529915,0.206388,0.0414956,0.0951497
0.335283,1280,0.118917,1,0.0018857,0.000385422,0.075,0.128287,-0.0297002,0.00561974,0,-0.00640448,720,-0.0016131,0.0725151,-0.00115937,0.237152,0.0019923,0.352775,0.0234475,0.0471584
0.49042,1280,0.0880248,0.144805,0.0126182,0.000358172,0.0599401,0.271174,-0.0746711,0.00326886,0.011889,-0.00195843,720,0.015209,0.0660961,0.00722069,0.390476,0.00456861,0.185865,0.0199827,0.0931308
0.0523346,1280,0.313027,0.915842,0.0278638,0.0355406,0.0625,0.0346959,-0.0943985,-0.0335172,0.061451,-0.00170191,720,-0.0104287,0.132801,0.00650443,0.0215437,0.00552683,0.301766,0.152418,0.0814835
0.61063,1280,0.205397,0.0847983,0.00453969,0.00068225,0.0749251,0.571283,-0.215864,-0.00204314,0.000764526,0.0646758,720,-0.0564041,0.152471,0.0510766,0.485856,0.00961194,0.237718,0.0235142,0.0802752
0.208796,1280,0.1385,0.788469,0.0264586,0.00168991,0.0599401,0.122014,-0.129845,-0.00259708,0.00377453,0.0101109,720,0.0161673,0.17042,-0.00284856,0.164157,0.0110831,0.246,0.032722,0.0820332
0.0739714,1280,0.406185,0.275114,0.00660181,0.00502582,0.0749251,0.0730617,-0.0925911,0.00114288,0.00196721,-9.99E-05,720,0.00135405,0.156517,0.0449007,0.0528561,0.00210246,0.232458,0.0399868,0.069071
0.632015,1280,0.101717,0.238582,0,0.000675135,0.0625,0.458248,-0.0165319,0.00625459,0,0.0232014,720,0.0346114,0.039761,-0.000170624,0.522636,0.0114156,0.122474,0.0181029,0.125877
0.182985,1280,0.286222,0.198185,0.0146762,0.00331573,0.0599401,0.0790456,-0.184856,0.00854325,0.00507798,0.00537259,720,0.00865033,0.144957,0.0120834,0.112907,0.000730272,0.161898,0.0462948,0.0928546
